,t_5,rt_5,t_4,rt_4,t_3,rt_3,t_2,rt_2,t_1,rt_1,t_0,rt0,t1,rt1,t2,rt2,t3,rt3,t4,rt4,t5,rt5,avg_sent,sent_val,D0
260,2014-07-24,-0.026063947173497137,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,-0.11899999999999998,neg,0
261,2014-07-25,-0.0009548186463936847,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,0.06259999999999999,pos,1
262,2014-07-26,-0.011994320682547577,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,0.28286,pos,1
263,2014-07-27,-0.005651632405702323,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,0.129475,pos,1
264,2014-07-28,-0.006432103857818783,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,0.5719,pos,1
265,2014-07-29,-0.005679776418416549,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,2014-08-08,0.005647725945687743,0.6369,pos,1
266,2014-07-30,-0.03561582776081518,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,2014-08-08,0.005647725945687743,2014-08-09,0.00028194809597748005,0.03096666666666666,pos,1
267,2014-07-31,0.03282679140937006,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,2014-08-08,0.005647725945687743,2014-08-09,0.00028194809597748005,2014-08-10,0.0008029254969255106,0.05165,pos,1
268,2014-08-01,0.02506629318678999,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,2014-08-08,0.005647725945687743,2014-08-09,0.00028194809597748005,2014-08-10,0.0008029254969255106,2014-08-11,-0.02404440492571569,0.6249,pos,1
269,2014-08-02,-0.01135178762912592,2014-08-03,-0.0047572518454517265,2014-08-04,0.0021998785451786684,2014-08-05,-0.009079677360950167,2014-08-06,0.0005818955080516552,2014-08-07,0.006619860866033278,2014-08-08,0.005647725945687743,2014-08-09,0.00028194809597748005,2014-08-10,0.0008029254969255106,2014-08-11,-0.02404440492571569,2014-08-12,-0.0075370680250166355,0.1779,pos,1
